feature,improved_mean,improved_std,improved_n,not_improved_mean,not_improved_std,not_improved_n,pvalue,cohens_d,significant
nSigma,0.4913207425502638,0.1634314355519773,151,0.5438475212901936,0.18217360145373895,566,0.0008042939411037528,-0.2944244353250458,True
WIG,2.0406660279532924,0.6162442255330994,151,2.235929038381408,0.7021378369495818,566,0.0011865814824601549,-0.2850506985548178,True
NQC,0.01959431227828841,0.006253894323438947,151,0.021437030353381258,0.0068815827904022235,566,0.0009821385905518442,-0.2728038463223193,True
SMV,2.393565654916318,1.6087368451810276,151,2.883825162545346,1.9438952902082183,566,0.0009076041418341394,-0.2609782589636194,True
AvgIDF,6.072239604291458,1.8345313037115651,151,5.792022360513293,1.6201474018136686,566,0.12926354304272925,0.16805545720348375,False
Clarity,1.2188396836269524,0.12205155492271386,151,1.2380896944251718,0.1204059354904468,566,0.14909919469970537,-0.1594163799951729,False
SClarity,8.554603410305248,1.9228330706485837,151,8.288062668122047,1.7219463783094686,566,0.16993623741063957,0.15093030329697035,False
AvgICTF,10.318353282409857,1.955330400003629,151,10.06836865706523,1.7277971161868464,566,0.1855810154229255,0.14060299726244074,False
MaxIDF,12.146797687645961,3.640597734613565,151,11.822523959263775,3.666647371873052,566,0.3015175028116387,0.08857039368340755,False
MaxSCQ,77.32013683137599,6.790389654905847,151,76.94562496942369,6.471301569717506,566,0.2700092114854522,0.057268893118435284,False
