feature,fp_mean,fp_std,fp_n,all_mean,all_std,all_n,tp_mean,tn_mean,fn_mean,fp_vs_all_pvalue,fp_vs_tp_pvalue,fp_vs_tn_pvalue,fp_vs_fn_pvalue,fp_vs_all_cohens_d,fp_vs_tp_cohens_d,fp_vs_tn_cohens_d,fp_vs_fn_cohens_d,fp_specific,fp_vs_others_significant
AvgICTF,9.918905998422337,1.7077325270321804,7380,10.06053055937338,1.7416099125760012,2002,9.70560007731596,10.445669222441479,10.388785792052598,0.0009797041825886582,0.0005745386593924437,1.2030043866331647e-13,4.935119633728427e-08,-0.08257916708258867,0.12501046844632016,-0.3083027619562094,-0.2747519344692116,False,True
AvgIDF,5.641187253236774,1.6128426752049985,7380,5.776774225698372,1.6470517912193912,2002,5.396139096454065,6.173421696218092,6.125702334486874,0.0008536947065205684,3.640690636416723e-05,9.736305135765838e-16,5.631161199781107e-09,-0.0836852796101753,0.15206942768958104,-0.3296857617771706,-0.30020100884165596,False,True
Clarity,1.2320760994275008,0.11932807683623257,7380,1.2273998547598695,0.12018468659750492,2002,1.2238028998937962,1.2247038254173508,1.234808473751264,0.2658249612920265,0.1521781225304062,0.34668143308651356,0.6077793571006529,0.039128044955612104,0.06952146875652408,0.06154413546382135,-0.022871548171158062,False,False
MaxIDF,11.610441320874934,3.746467165711959,7380,11.789794808705215,3.7051397485704562,2002,11.089084610140079,12.510735008993676,12.344369300064956,0.06191033717243342,0.003211502588321091,1.2040641263194702e-07,0.0008049918125077001,-0.04798512505341942,0.13840891250235143,-0.2424685265907087,-0.19678500597547477,False,True
MaxSCQ,76.65041386552357,6.606112906834879,7380,76.86598726283958,6.474377702363962,2002,75.71067975834232,77.88633222823479,77.71618394578947,0.2566693356472435,0.0003942403623435651,5.970468661061818e-05,0.0031681953396556924,-0.0327707212497225,0.1413482862438331,-0.1890713915311989,-0.1621665774477588,False,True
NQC,0.021378410079896677,0.006909192291923279,7380,0.021333566950989383,0.006958382263272638,2002,0.021995304975525046,0.020621133445623944,0.02097967716287142,0.9900566788346964,0.0036295250598181814,0.002945715096998522,0.34913496502891217,0.006480487704336824,-0.08933151680701056,0.1093106208859858,0.05773916788646438,False,True
SClarity,8.129418585649846,1.6968424022740496,7380,8.273827867933282,1.7315345500915458,2002,7.946657725114209,8.620829587227183,8.607947729197043,0.0007454235273561096,0.002176960459741896,1.5485451524062701e-12,3.198128400526822e-08,-0.08473219424583685,0.1077011919501634,-0.28940059279173436,-0.2816726173187071,False,True
SMV,2.8642328150320417,1.9605226522237416,7380,2.87078064088584,1.9941352084234507,2002,3.0459393850401315,2.690908356161805,2.778408706141427,0.7771925941725267,0.0024071408726733592,0.004110824803331351,0.5473862318180371,-0.0033275847559173536,-0.09224530626158224,0.08825814746636082,0.04389109540970034,False,True
WIG,2.213125871715184,0.692018831561016,7380,2.2202861861344223,0.7147784993372237,2002,2.321625951131185,2.1005369872073425,2.1953662827435667,0.7987926834465565,8.276684080070017e-05,1.0164444144661177e-05,0.666664936351623,-0.0102739849237575,-0.15588977785327676,0.1625616808313858,0.02565125751386606,False,True
nSigma,0.540913657005434,0.18288104917176762,7380,0.5408686600251174,0.18406910133650148,2002,0.5644739654772614,0.5141610541726606,0.5310246282259176,0.858967659825908,0.0002667431162668375,0.00017608571490818423,0.3981155070040945,0.0002457036954738797,-0.1288101452153197,0.14616734568439269,0.05410060174877971,False,True
