Stratum,QPP_Range,QPP_Mean,Count,RoBERTa_AUC,LogReg_AUC,L1_AUC,L2_AUC,ENet_AUC
1,0.913 - 1.842,1.531863395999754,667,0.7237824675324676,0.7224025974025974,0.7235119047619047,0.7226911976911976,0.723169191919192
2,1.844 - 2.406,2.1052827984353772,667,0.7062947196811883,0.7074540349606014,0.7044651752558645,0.7037315460556108,0.7038130604111945
3,2.407 - 5.845,3.022509630168983,668,0.7107564191533657,0.7010779551237567,0.7001896830904466,0.6992551468887346,0.6998103169095535
