feature,success_mean,success_std,success_median,error_mean,error_std,error_median,all_mean,all_std,p_success_vs_error,statistic,cohens_d
AvgICTF,10.388785792052598,1.7582309666002982,10.288655313237365,10.068703863892184,1.7397453647393586,9.97886064604732,10.06053055937338,1.7416099125760012,0.003601722554800391,140722.0,0.18300721810376
AvgIDF,6.125702334486874,1.6360887292254562,5.95714648935493,5.800668313972557,1.6246925119321423,5.654850320155657,5.776774225698372,1.6470517912193912,0.001903889996817712,141637.0,0.19935838157730873
Clarity,1.234808473751264,0.12216423801113188,1.2273870521085164,1.2335764246929266,0.12022531642313965,1.2274362786785584,1.2273998547598695,0.12018468659750492,0.8177207677449454,128062.0,0.010165534116824694
MaxIDF,12.344369300064956,3.378492581154849,12.689342541725662,11.842320276482047,3.647982074026665,12.612267201812031,11.789794808705215,3.7051397485704562,0.056581607390599545,135972.0,0.1427971212862374
MaxSCQ,77.71618394578947,5.858073263201115,79.80029826254082,77.10801632002261,6.354731606920026,79.52040177843405,76.86598726283958,6.474377702363962,0.20831170221791728,132915.0,0.09951282435477204
NQC,0.02097967716287142,0.006837534779531964,0.020374234042303048,0.021313134171589254,0.006820388810827315,0.019971952372283,0.021333566950989383,0.006958382263272638,0.47556534557807906,123603.0,-0.04882978642380414
SClarity,8.607947729197043,1.7387828249928823,8.507099078650679,8.288762096806332,1.7223159096181095,8.138171938170617,8.273827867933282,1.7315345500915458,0.003524381416555051,140754.0,0.18443970797104203
SMV,2.778408706141427,1.8508778680736595,2.367683791789267,2.8573335666451665,1.896600946819186,2.3319091768435847,2.87078064088584,1.9941352084234507,0.5375797820393939,124061.0,-0.042118443083289936
WIG,2.1953662827435667,0.6988217006964983,2.0755522155761783,2.2269876166050144,0.6897054343604456,2.0932696533203097,2.2202861861344223,0.7147784993372237,0.4384239130410944,123313.0,-0.0455456023437714
nSigma,0.5310246282259176,0.180971529296787,0.5035922391873395,0.5413346044651739,0.18125490626249008,0.5050774592534795,0.5408686600251174,0.18406910133650148,0.3996814425376627,122995.0,-0.05692556960046375
