feature,all_mean,all_std,weak_all_mean,weak_all_std,weak_improved_mean,weak_improved_std,weak_not_improved_mean,weak_not_improved_std,p_weak_vs_all,p_improved_vs_not,cohens_d_weak_vs_all,cohens_d_improved_vs_not
AvgICTF,10.06053055937338,1.7416099125760012,10.068703863892184,1.7397453647393586,9.681781859626957,1.5610681884950433,10.139482279306552,1.7625520995008763,0.7004575029864456,0.02264175694196677,0.004694230712664094,-0.2640898600457058
AvgIDF,5.776774225698372,1.6470517912193912,5.800668313972557,1.6246925119321423,5.403335123013225,1.4222113614330472,5.8733512147578,1.6498442168461487,0.6019552870447704,0.010958206366907614,0.014556944944462679,-0.2906788349320371
Clarity,1.2273998547598695,0.12018468659750492,1.2335764246929266,0.12022531642313965,1.2597839190063678,0.11649284414417463,1.228782370855102,0.12037787834562885,0.3746374817706498,0.009612045619930818,0.05138792337824011,0.2588007421585145
MaxIDF,11.789794808705215,3.7051397485704562,11.842320276482047,3.647982074026665,11.149767481493045,3.623826562636062,11.969006763370277,3.641278851369231,0.8597003335849726,0.029082041407165814,0.014231620742562191,-0.22515213014107108
MaxSCQ,76.86598726283958,6.474377702363962,77.10801632002261,6.354731606920026,76.24085929242375,6.837897948838063,77.26664260555899,6.255650266545574,0.3007835946927617,0.11116494289016474,0.03755703002611344,-0.16157714235966503
NQC,0.021333566950989383,0.006958382263272638,0.021313134171589254,0.006820388810827315,0.022326788418085265,0.007039008263521842,0.0211277096143034,0.0067695069206283156,0.958043093894284,0.10251117940663258,-0.002951127812249788,0.17603480672522737
SClarity,8.273827867933282,1.7315345500915458,8.288762096806332,1.7223159096181095,7.957091117467918,1.529490239215166,8.349433617417018,1.7497171911861238,0.6788597011098163,0.05756110870382723,0.008636465297334563,-0.22840851896079983
SMV,2.87078064088584,1.9941352084234507,2.8573335666451665,1.896600946819186,3.0690052150103444,1.9051182717192892,2.8186131431637316,1.89414453307966,0.9598259784207652,0.12218168758685043,-0.0068262456177056105,0.13207486216088146
WIG,2.2202861861344223,0.7147784993372237,2.2269876166050144,0.6897054343604456,2.2779985424223397,0.6809679516719985,2.217656349687211,0.6914719172094376,0.625712466136948,0.28023791795821207,0.0094583920138004,0.087469096847938
nSigma,0.5408686600251174,0.18406910133650148,0.5413346044651739,0.18125490626249008,0.5638190095952942,0.17629123728528048,0.5372216035267373,0.1819978231494352,0.8976533103477271,0.09607569508561405,0.002541132083430785,0.14683920033288067
