feature,improved_mean,improved_std,improved_n,not_improved_mean,not_improved_std,not_improved_n,pvalue,cohens_d,significant
AvgIDF,5.403335123013225,1.4222113614330472,105,5.8733512147578,1.6498442168461487,574,0.010958206366907614,-0.2906788349320371,True
AvgICTF,9.681781859626957,1.5610681884950433,105,10.139482279306552,1.7625520995008763,574,0.02264175694196677,-0.2640898600457058,True
Clarity,1.2597839190063678,0.11649284414417463,105,1.228782370855102,0.12037787834562885,574,0.009612045619930818,0.2588007421585145,True
SClarity,7.957091117467918,1.529490239215166,105,8.349433617417018,1.7497171911861238,574,0.05756110870382723,-0.22840851896079983,False
MaxIDF,11.149767481493045,3.623826562636062,105,11.969006763370277,3.641278851369231,574,0.029082041407165814,-0.22515213014107108,True
NQC,0.022326788418085265,0.007039008263521842,105,0.0211277096143034,0.0067695069206283156,574,0.10251117940663258,0.17603480672522737,False
MaxSCQ,76.24085929242375,6.837897948838063,105,77.26664260555899,6.255650266545574,574,0.11116494289016474,-0.16157714235966503,False
nSigma,0.5638190095952942,0.17629123728528048,105,0.5372216035267373,0.1819978231494352,574,0.09607569508561405,0.14683920033288067,False
SMV,3.0690052150103444,1.9051182717192892,105,2.8186131431637316,1.89414453307966,574,0.12218168758685043,0.13207486216088146,False
WIG,2.2779985424223397,0.6809679516719985,105,2.217656349687211,0.6914719172094376,574,0.28023791795821207,0.087469096847938,False
