feature,improved_mean,improved_std,improved_n,not_improved_mean,not_improved_std,not_improved_n,pvalue,cohens_d,significant
MaxSCQ,76.42482532988411,6.580114212742906,58,77.17182481829641,6.334981193432233,621,0.33155496884119007,-0.11752694957136707,False
Clarity,1.8237130621989837,0.5948591392255385,58,1.8890440969105327,0.6430427133971158,621,0.39721378524309614,-0.10221934144456098,False
nSigma,0.3326836340080012,0.16297499927116474,58,0.35010286544879754,0.17996619775577472,621,0.5085372768045529,-0.0975332074172578,False
SMV,1.264840229233235,1.2775242513935785,58,1.4448187906206946,1.8937198843517482,621,0.6927467377053429,-0.0972978057711951,False
WIG,1.4314575131186122,0.6786541876472845,58,1.5144193889015922,0.8677821604843379,621,0.7781459907740818,-0.09720471530598007,False
MaxIDF,12.01977091668826,3.7971491642439976,58,11.82574678673654,3.636470247516201,621,0.5710047154953,0.0531533451326263,False
NQC,0.08665851302843844,0.03712156010817951,58,0.08829303265792476,0.04132915771788735,621,0.7722480857416426,-0.039874547320543054,False
SClarity,8.337712475563144,1.8431879516732088,58,8.284190241785566,1.712101066575771,621,0.6594823161509145,0.031053983068996198,False
AvgIDF,5.844870907972655,1.753962229157819,58,5.796539891344529,1.6135457328835254,621,0.737675408871713,0.029726876159789473,False
AvgICTF,10.115278912694897,1.934245292557246,58,10.064353859334117,1.722114278294252,621,0.6463583254863734,0.029250941506612272,False
