feature,all_mean,all_std,weak_all_mean,weak_all_std,weak_improved_mean,weak_improved_std,weak_not_improved_mean,weak_not_improved_std,p_weak_vs_all,p_improved_vs_not,cohens_d_weak_vs_all,cohens_d_improved_vs_not
AvgICTF,10.06053055937338,1.7416099125760012,10.068703863892184,1.7397453647393586,10.115278912694897,1.934245292557246,10.064353859334117,1.722114278294252,0.7004575029864456,0.6463583254863734,0.004694230712664094,0.029250941506612272
AvgIDF,5.776774225698371,1.6470517912193912,5.800668313972557,1.6246925119321423,5.844870907972655,1.753962229157819,5.796539891344529,1.6135457328835254,0.6019552870447704,0.737675408871713,0.01455694494446322,0.029726876159789473
Clarity,1.8425331252242207,0.6033620670760981,1.8834635372444504,0.6389158352833669,1.8237130621989837,0.5948591392255385,1.8890440969105327,0.6430427133971158,0.1918553866200302,0.39721378524309614,0.06681915475965482,-0.10221934144456098
MaxIDF,11.789794808705215,3.705139748570456,11.842320276482047,3.6479820740266646,12.01977091668826,3.7971491642439976,11.82574678673654,3.636470247516201,0.8597003335849726,0.5710047154953,0.014231620742562193,0.0531533451326263
MaxSCQ,76.86598726283957,6.474377702363961,77.10801632002261,6.354731606920027,76.42482532988411,6.580114212742906,77.17182481829641,6.334981193432233,0.3007835946927617,0.33155496884119007,0.03755703002611565,-0.11752694957136707
NQC,0.08554600948945536,0.04105315978391208,0.0881534124244782,0.040963863754240666,0.08665851302843844,0.03712156010817951,0.08829303265792476,0.04132915771788735,0.0614457410927801,0.7722480857416426,0.06354779748717877,-0.039874547320543054
SClarity,8.273827867933282,1.7315345500915458,8.288762096806332,1.7223159096181095,8.337712475563144,1.8431879516732088,8.284190241785566,1.712101066575771,0.6788597011098163,0.6594823161509145,0.008636465297334561,0.031053983068996198
SMV,1.386211462418575,2.2233095476933444,1.429445069618526,1.849090766853247,1.264840229233235,1.2775242513935785,1.4448187906206946,1.8937198843517482,0.07451890583094822,0.6927467377053429,0.02025172123282527,-0.0972978057711951
WIG,1.4588146244967497,0.8591314475456654,1.507332807465049,0.8531618410746227,1.4314575131186122,0.6786541876472845,1.5144193889015922,0.8677821604843379,0.07653796637269435,0.7781459907740818,0.056572751697118936,-0.09720471530598007
nSigma,0.3408758535594002,0.19107079618428807,0.3486149193168886,0.17853269592575982,0.3326836340080012,0.16297499927116474,0.35010286544879754,0.17996619775577472,0.07618572165738846,0.5085372768045529,0.041170341704235294,-0.0975332074172578
