feature,threshold,direction,correction_direction,cohens_d,pvalue,error_median,correct_median
WIG,1.4816213035583499,高い,answer,0.14685855532079123,5.7441413478252474e-12,1.4816213035583499,1.1988659858703614
nSigma,0.3460409971724647,高い,answer,0.12850150027342996,7.952449421807177e-11,0.3460409971724647,0.2800773241752509
NQC,0.08756551367695514,高い,answer,0.11725457887742784,1.5977930022912456e-08,0.08756551367695514,0.0727834856775465
Clarity,1.86951640274098,高い,answer,0.11420751656911803,1.272936380598362e-06,1.86951640274098,1.6444030250133792
