bootstrap_id,feature_combination,metric_name,value
0,regression,auc,0.6698444476222254
0,regression,ap,0.6512592900397922
0,regression,f1,0.6036217303822937
0,regression,accuracy,0.6075697211155379
1,regression,auc,0.6872220104206379
1,regression,ap,0.6700135610586344
1,regression,f1,0.6199575371549894
1,regression,accuracy,0.6434262948207171
2,regression,auc,0.6548410231890986
2,regression,ap,0.6871451171055547
2,regression,f1,0.6232741617357002
2,regression,accuracy,0.6195219123505976
3,regression,auc,0.6601254266888942
3,regression,ap,0.6524769292652108
3,regression,f1,0.6021052631578947
3,regression,accuracy,0.6235059760956175
4,regression,auc,0.6338030411591433
4,regression,ap,0.6157353675941464
4,regression,f1,0.5398230088495575
4,regression,accuracy,0.5856573705179283
5,regression,auc,0.7040062542878568
5,regression,ap,0.7132056000289333
5,regression,f1,0.6481113320079522
5,regression,accuracy,0.647410358565737
6,regression,auc,0.6333105302512052
6,regression,ap,0.6492210264178317
6,regression,f1,0.570281124497992
6,regression,accuracy,0.5737051792828686
7,regression,auc,0.6740538481076963
7,regression,ap,0.6632546599009901
7,regression,f1,0.6029723991507431
7,regression,accuracy,0.6274900398406374
8,regression,auc,0.6980493155911671
8,regression,ap,0.7096559027839695
8,regression,f1,0.64
8,regression,accuracy,0.6414342629482072
9,regression,auc,0.7160305343511449
9,regression,ap,0.6976245835396111
9,regression,f1,0.6233766233766234
9,regression,accuracy,0.6533864541832669
10,regression,auc,0.6745486782720825
10,regression,ap,0.7131270165749521
10,regression,f1,0.6195028680688337
10,regression,accuracy,0.603585657370518
11,regression,auc,0.6658558687461248
11,regression,ap,0.6923289806746094
11,regression,f1,0.593186372745491
11,regression,accuracy,0.5956175298804781
12,regression,auc,0.6334353871667304
12,regression,ap,0.6822282387053877
12,regression,f1,0.598825831702544
12,regression,accuracy,0.5916334661354582
13,regression,auc,0.7090984245083544
13,regression,ap,0.7161758660836259
13,regression,f1,0.6745098039215687
13,regression,accuracy,0.6693227091633466
14,regression,auc,0.6961428571428572
14,regression,ap,0.7068906235639518
14,regression,f1,0.625250501002004
14,regression,accuracy,0.6274900398406374
15,regression,auc,0.6565088568879827
15,regression,ap,0.6353170129052281
15,regression,f1,0.5720338983050848
