Model,AUC-ROC,Average Precision,Accuracy,F1 Score
L1,0.6950874413380931,0.7086709535309016,0.6523476523476524,0.6598240469208211
L1,0.6950874413380931,0.7086709535309016,0.525974025974026,0.24502784407319014
BOLASSO,0.6949290040511812,0.7083119527138941,0.525974025974026,0.24502784407319014
ElasticNet,0.6948738518310538,0.7082546559804594,0.524975024975025,0.24223107569721117
L2,0.6946171433155509,0.7081187326206434,0.5244755244755245,0.24082934609250398
LARS-CV,0.694266174642012,0.7073579763700288,0.522977022977023,0.237829209896249
LARS-Traps,0.6931450804219645,0.7062405910998699,0.5244755244755245,0.24324324324324326
No Penalty,0.6857887770245878,0.6960170402080595,0.518981018981019,0.23510722795869737
RandomForest,0.5888331795756286,0.604822060165275,0.5234765234765235,0.38051948051948054
