metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.6211031175059952,0.6273584905660378,0.6773436774133605,0.6995499832714697,0.4,0.6,417
single_metric,0.6474820143884892,0.6636155606407322,0.7104199572609868,0.7426916033784406,0.4,0.6,417
