method,qa_pairs_category,mean_score,std_score,median_score,count
QPP,1 QA pair,-0.09038889170272223,0.04379156284774464,-0.07782697395462805,830
QPP,2 QA pairs,-0.08513418429611692,0.0394464727950966,-0.0752589163501097,397
QPP,3 QA pairs,-0.07943364140022922,0.031296793370817755,-0.07374929850569567,188
QPP,4+ QA pairs,-0.0809344721223658,0.04014147551415129,-0.07025512408118754,587
BERT,1 QA pair,-0.24038790895797155,0.6171765803968695,-0.2854294031858444,830
BERT,2 QA pairs,0.039990028286392636,0.64789636707987,0.0381537564098835,397
BERT,3 QA pairs,0.24562168242707055,0.6687983252619353,0.26513226330280304,188
BERT,4+ QA pairs,0.4340088811371431,0.639514626535903,0.48034581542015076,587
