,qa_pairs_count,QPP,BERT,Integrated
qa_pairs_count,1.0,0.037715867850655074,-0.044893593401891654,0.03456322798817759
QPP,0.037715867850655074,1.0,-0.03079531866446148,-0.03949602676293968
BERT,-0.044893593401891654,-0.03079531866446148,1.0,0.018307121403189297
Integrated,0.03456322798817759,-0.03949602676293968,0.018307121403189297,1.0
