Model,AUC-ROC,Average Precision,Accuracy,F1 Score
LARS-CV,0.6828426457021379,0.6856047344351474,0.6303696303696303,0.6432015429122468
L1,0.6820895672054872,0.6844045576254771,0.6483516483516484,0.6996587030716723
L1,0.6820895672054872,0.6844045576254771,0.6283716283716284,0.6374269005847953
BOLASSO,0.6820895672054872,0.6844045576254771,0.6283716283716284,0.6374269005847953
L2,0.6809063013918416,0.6822290495870327,0.6303696303696303,0.6421663442940039
LARS-Traps,0.6809063013918416,0.6822290495870327,0.6303696303696303,0.6421663442940039
ElasticNet,0.6797681601219365,0.680655471212478,0.6283716283716284,0.6436781609195402
No Penalty,0.6794262163571457,0.6802027247057811,0.6263736263736264,0.6444866920152091
RandomForest,0.5708104368055835,0.5845990512503593,0.5494505494505495,0.5416666666666666
