Model,AUC-ROC,Average Precision,Accuracy,F1 Score
L1,0.6980666639926196,0.713071345216281,0.6578421578421578,0.6686018384131591
L1,0.6980666639926196,0.713071345216281,0.5669330669330669,0.391578947368421
BOLASSO,0.6980666639926196,0.713071345216281,0.5669330669330669,0.391578947368421
ElasticNet,0.6949019293249368,0.7086096566355377,0.5624375624375625,0.37606837606837606
LARS-CV,0.6930528257992059,0.7065161183659263,0.5599400599400599,0.37026447462473194
LARS-Traps,0.6928412418274438,0.7063050888438385,0.5599400599400599,0.37026447462473194
L2,0.6928412418274438,0.7063050888438385,0.5599400599400599,0.37026447462473194
No Penalty,0.6900425173478801,0.7068054320685591,0.5734265734265734,0.4206241519674355
RandomForest,0.6237229754121376,0.6441155243532627,0.550949050949051,0.41203400915631133
