conv_id,turn_id,acc,wacc,mean_similarity,num_edges,num_nodes,num_documents,num_documents_for_network
-4469503464110108318,1,0.8019695758040885,0.606769937138797,0.6594834327697754,660,50,100,50
4790842463458965203,1,0.8015032760679363,0.5903585029486733,0.6153331398963928,687,50,100,50
-6631915997977101143,1,0.7950760820283874,0.6454850454097414,0.768432080745697,697,50,100,50
-3098213414945179817,1,0.7689114387828275,0.5224625007657834,0.6791529655456543,622,50,100,50
-927805218867163489,1,0.7848809644479985,0.6493871813980051,0.7493606209754944,753,50,100,50
-8765341210106443690,1,0.8179055354731394,0.6048198101324955,0.6966530680656433,731,50,100,50
-8984315366060644345,1,0.7739544540211746,0.5630473869128821,0.6830130219459534,613,50,100,50
-3359151041540098032,1,0.8231952005054245,0.6680942484739402,0.7608780860900879,741,50,100,50
6601536662148726350,1,0.8570239592918292,0.6157119739740389,0.5543661117553711,759,50,100,50
-4757397641844293607,1,0.7643304078223836,0.5590688957173987,0.7199199795722961,632,50,100,50
-6857918454805495301,1,0.7512755959112469,0.5256807296573653,0.6156870722770691,610,50,100,50
-4132174036373265970,1,0.7853218502730089,0.6175843373781007,0.672155499458313,745,50,100,50
1561260788294720798,1,0.8178245517021238,0.6297631154374708,0.643080472946167,687,50,100,50
-3609553841261159056,1,0.7828891282894902,0.5917096215232759,0.6518822312355042,682,50,100,50
128788970421661020,1,0.801916851933654,0.6289856284463217,0.6742885112762451,673,50,100,50
4722519916015127979,1,0.8192192599040317,0.6006701994927792,0.6416041254997253,671,50,100,50
-1911980845281550523,1,0.7667717098284866,0.5428135706795086,0.750051736831665,694,50,100,50
-8524801800420428358,1,0.7658196381896558,0.5512938131550346,0.7243591547012329,664,50,100,50
4776000106366522865,1,0.7754021731107293,0.5119568013392306,0.5757445096969604,672,50,100,50
4723481094198751540,1,0.7601884899312296,0.5728276064802872,0.6577057838439941,674,50,100,50
-7461719336882424985,1,0.8065090641530975,0.5792323254314856,0.6369348764419556,626,50,100,50
6629199459601104475,1,0.7630530596289274,0.5143071667960748,0.6741894483566284,576,50,100,50
-1688500492894023725,1,0.789123726045738,0.5654227776401222,0.6262509226799011,621,50,100,50
-4920697783415402962,1,0.7687555717077116,0.6277635288700592,0.7340077757835388,693,50,100,50
-4950316745090894056,1,0.8136020616874545,0.5915016896738312,0.5739818811416626,646,50,100,50
-8652199953083038138,1,0.7847358768923236,0.5920916108282034,0.6537480354309082,671,50,100,50
7030758716024791080,1,0.8190187877182921,0.6397334470333336,0.7498269081115723,777,50,100,50
1237920926774398276,1,0.7592988370539877,0.5729846552456921,0.6821102499961853,647,50,100,50
4737873499269724327,1,0.7540452877405494,0.5232700519903956,0.6832495331764221,623,50,100,50
4123548744340087331,1,0.7869528824638059,0.5736875304393315,0.6194043159484863,637,50,100,50
-3430387669519489370,1,0.8026606861183899,0.6115049505727217,0.675557017326355,657,50,100,50
6389345907245133102,1,0.8392276458341646,0.6662513866247098,0.6945654153823853,704,50,100,50
7063169977317265636,1,0.7937591918584576,0.5823967368362832,0.6372612118721008,682,50,100,50
-1672733591597131629,1,0.8263534916913272,0.6181604321138598,0.6674712300300598,742,50,100,50
3459755935653104243,1,0.8467117825629863,0.6715521548512955,0.6497458815574646,717,50,100,50
-7563488770313519534,1,0.7563187441286122,0.5013003232387586,0.6124860644340515,627,50,100,50
3630976503357786326,1,0.8141243815509516,0.6175292168161409,0.6728261709213257,680,50,100,50
