conv_id,turn_id,mean_similarity,sum_similarity,num_similarity_pairs,num_retrieved_documents
-4469503464110108318,1,0.6431288719177246,3183.48779296875,4950,100
4790842463458965203,1,0.6130390167236328,3034.543212890625,4950,100
-6631915997977101143,1,0.7739906907081604,3831.25390625,4950,100
-3098213414945179817,1,0.6605679988861084,3269.8115234375,4950,100
-927805218867163489,1,0.762850821018219,3776.111572265625,4950,100
-8765341210106443690,1,0.7019866704940796,3474.833984375,4950,100
-8984315366060644345,1,0.6699903607368469,3316.4521484375,4950,100
-3359151041540098032,1,0.7590188980102539,3757.1435546875,4950,100
6601536662148726350,1,0.5748870372772217,2845.69091796875,4950,100
-4757397641844293607,1,0.7117474675178528,3523.14990234375,4950,100
-6857918454805495301,1,0.62245774269104,3081.165771484375,4950,100
-4132174036373265970,1,0.6902689337730408,3416.831298828125,4950,100
1561260788294720798,1,0.6643845438957214,3288.70361328125,4950,100
-3609553841261159056,1,0.6340481042861938,3138.5380859375,4950,100
128788970421661020,1,0.6922794580459595,3426.783447265625,4950,100
4722519916015127979,1,0.6439021229743958,3187.3154296875,4950,100
-1911980845281550523,1,0.742087721824646,3673.334228515625,4950,100
-8524801800420428358,1,0.7096467018127441,3512.751220703125,4950,100
4776000106366522865,1,0.5918042659759521,2929.43115234375,4950,100
4723481094198751540,1,0.6560059785842896,3247.2294921875,4950,100
-7461719336882424985,1,0.6352686882019043,3144.580078125,4950,100
6629199459601104475,1,0.6636372804641724,3285.00439453125,4950,100
-1688500492894023725,1,0.6236333250999451,3086.98486328125,4950,100
-4920697783415402962,1,0.6905905604362488,3418.42333984375,4950,100
-4950316745090894056,1,0.5880874991416931,2911.033203125,4950,100
-8652199953083038138,1,0.661279022693634,3273.331298828125,4950,100
7030758716024791080,1,0.7114478945732117,3521.6669921875,4950,100
1237920926774398276,1,0.6724497675895691,3328.62646484375,4950,100
4737873499269724327,1,0.6895915269851685,3413.47802734375,4950,100
4123548744340087331,1,0.6009430289268494,2974.66796875,4950,100
-3430387669519489370,1,0.6627804040908813,3280.762939453125,4950,100
6389345907245133102,1,0.6831753253936768,3381.7177734375,4950,100
7063169977317265636,1,0.6214233636856079,3076.045654296875,4950,100
-1672733591597131629,1,0.6611529588699341,3272.707275390625,4950,100
3459755935653104243,1,0.6500638127326965,3217.81591796875,4950,100
-7563488770313519534,1,0.6203352808952332,3070.65966796875,4950,100
3630976503357786326,1,0.6731300950050354,3331.993896484375,4950,100
