conv_id,turn_id,num_unique_titles,num_retrieved_documents
-4469503464110108318,1,100,100
4790842463458965203,1,100,100
-6631915997977101143,1,100,100
-3098213414945179817,1,100,100
-927805218867163489,1,100,100
-8765341210106443690,1,100,100
-8984315366060644345,1,100,100
-3359151041540098032,1,100,100
6601536662148726350,1,100,100
-4757397641844293607,1,100,100
-6857918454805495301,1,100,100
-4132174036373265970,1,100,100
1561260788294720798,1,100,100
-3609553841261159056,1,100,100
128788970421661020,1,100,100
4722519916015127979,1,100,100
-1911980845281550523,1,100,100
-8524801800420428358,1,100,100
4776000106366522865,1,100,100
4723481094198751540,1,100,100
-7461719336882424985,1,100,100
6629199459601104475,1,100,100
-1688500492894023725,1,100,100
-4920697783415402962,1,100,100
-4950316745090894056,1,100,100
-8652199953083038138,1,100,100
7030758716024791080,1,100,100
1237920926774398276,1,100,100
4737873499269724327,1,100,100
4123548744340087331,1,100,100
-3430387669519489370,1,100,100
6389345907245133102,1,100,100
7063169977317265636,1,100,100
-1672733591597131629,1,100,100
3459755935653104243,1,100,100
-7563488770313519534,1,100,100
3630976503357786326,1,100,100
5998037098651415370,1,100,100
7208068189874944399,1,100,100
-3713688239328074547,1,100,100
2034739379280412436,1,100,100
8651809831547260844,1,100,100
1533477128984345682,1,100,100
-5492391637682725131,1,100,100
-2558199766533138150,1,100,100
-6363994615218497826,1,100,100
3855307908076704970,1,100,100
4063304367414770942,1,100,100
-4110639543763413474,1,100,100
5150378125952226530,1,100,100
-229557364858904345,1,100,100
-6875166619428307308,1,100,100
5693531505008967478,1,100,100
7754002205765507756,1,100,100
-3944861237014469052,1,100,100
-2590664031903851316,1,100,100
3204171409264914923,1,100,100
3240942651859718397,1,100,100
2094392886389474592,1,100,100
4113432615092381478,1,100,100
-1617571755505770769,1,100,100
-5968852733411945019,1,100,100
9118807424034544000,1,100,100
6915912596627348551,1,100,100
1332897475571730747,1,100,100
-4283713808554560002,1,100,100
1109919554091311092,1,100,100
8505647719348789352,1,100,100
-8086186598590428328,1,100,100
2217144977440365678,1,100,100
3141501970999254639,1,100,100
6267368935580291991,1,100,100
2375410666129136218,1,100,100
-1120514028652364195,1,100,100
369553729358573631,1,100,100
-3521200059945079578,1,100,100
-228017844504433803,1,100,100
-6567021105969776914,1,100,100
3191215928530494096,1,100,100
-2071940157427414850,1,100,100
-3800524559144424177,1,100,100
-6839117089970381436,1,100,100
-4490620988150231901,1,100,100
1022217780810569079,1,100,100
-862554052027960093,1,100,100
-3516190339598522976,1,100,100
-7748524737773999409,1,100,100
3388798511401254812,1,100,100
1459126538041943679,1,100,100
-8834069158837396685,1,100,100
-1757904552409029500,1,100,100
1004431282200370974,1,100,100
8184930622224282678,1,100,100
8631327196287980755,1,100,100
-2593355371932719161,1,100,100
2837484115382116119,1,100,100
7199599312216372048,1,100,100
-8850169184954446631,1,100,100
-3897740693502172696,1,100,100
-3471432714621884410,1,100,100
6373189865465953269,1,100,100
8092598956660291215,1,100,100
62966941368680868,1,100,100
5133876537670324411,1,100,100
8932763630388059887,1,100,100
8923681797804610584,1,100,100
-2938945366077744797,1,100,100
3527566788119942912,1,100,100
618489770509518870,1,100,100
-652117253746563674,1,100,100
-2633917229646894638,1,100,100
-5955439966878959532,1,100,100
-586025167603300600,1,100,100
4647818796298534404,1,100,100
-7869146853815250428,1,100,100
7125146488385376967,1,100,100
-6760592683069308709,1,100,100
-2701905006672196275,1,100,100
-4268291779673036451,1,100,100
6635381132510830269,1,100,100
6906756762659846441,1,100,100
41813383673449160,1,100,100
5736313144411923989,1,100,100
2437211415582489495,1,100,100
4121961896432917626,1,100,100
3624155410679767933,1,100,100
5277039265479571506,1,100,100
-3139712300447252950,1,100,100
-2433903014343400592,1,100,100
8509594427725708011,1,100,100
637466759495656530,1,100,100
4388511442090327281,1,100,100
4017581325391763586,1,100,100
-970242290152935238,1,100,100
-3051966899537699923,1,100,100
9031064052174526065,1,100,100
5024251034005721621,1,100,100
-2931155045227159791,1,100,100
5872845962420620183,1,100,100
3366606900654441491,1,100,100
3475414091580580387,1,100,100
8704046441982292961,1,100,100
5297174100764498711,1,100,100
2461403814842235149,1,100,100
8874155628093512783,1,100,100
-3987085921377590111,1,100,100
-5252654481641015122,1,100,100
4935647557411468240,1,100,100
6655612156292942474,1,100,100
380411544211116045,1,100,100
-1632922854823814808,1,100,100
-554190377840485201,1,100,100
-1418263699326033825,1,100,100
-3646009549730386860,1,100,100
-3326481077280280719,1,100,100
-568636936416150712,1,100,100
7769061837730635466,1,100,100
5163503063546066409,1,100,100
2948006481997108356,1,100,100
797823664220494096,1,100,100
8396894601969104271,1,100,100
2422605926552012591,1,100,100
4813380737845046147,1,100,100
1686977533775896988,1,100,100
-4346356527042289819,1,100,100
6378807296590501467,1,100,100
7550329590348463483,1,100,100
1696585547939608356,1,100,100
8363516192822112952,1,100,100
5478464760366680266,1,100,100
-8299256126645328547,1,100,100
-8464915571535251869,1,100,100
-8763258719371316497,1,100,100
-8904648380591290777,1,100,100
-728768458666744436,1,100,100
2995876440875242696,1,100,100
-1251861966227806623,1,100,100
-5430273720359931869,1,100,100
3695029494455379112,1,100,100
-8006692048920844364,1,100,100
6954936211200105249,1,100,100
-4481052241158868613,1,100,100
-6634850103100431616,1,100,100
-927048542854377552,1,100,100
203297497300361195,1,100,100
-3661606786861813940,1,100,100
-4143857525450521403,1,100,100
-8404586620134690138,1,100,100
3146777178148103274,1,100,100
115077217083176926,1,100,100
8973682585519362105,1,100,100
6047412176533222353,1,100,100
-9145444956854203798,1,100,100
-6756588901320178787,1,100,100
1122093401567504279,1,100,100
2073074609229633831,1,100,100
-5606483767330508671,1,100,100
-2272541011654488615,1,100,100
5209515645518416566,1,100,100
-7767434984453717074,1,100,100
3284639783860060066,1,100,100
-4308074884061672266,1,100,100
4974147851677899891,1,100,100
-932371469263280005,1,100,100
5784342317088859362,1,100,100
-5578465777857048645,1,100,100
4670287927517272250,1,100,100
4394564786039551261,1,100,100
5682950440236868221,1,100,100
4641553220402437726,1,100,100
-5724957780921801472,1,100,100
-5996210673527091732,1,100,100
4823183553732390526,1,100,100
-52876016653618605,1,100,100
-7913382513546697336,1,100,100
-3208944849716715606,1,100,100
1658357540970432708,1,100,100
-6217974543811358526,1,100,100
492252655024560173,1,100,100
-5581375458577113243,1,100,100
1637515241316099858,1,100,100
-3537532053383034652,1,100,100
-2213251210295764680,1,100,100
7376381286915541708,1,100,100
8114659481467544272,1,100,100
7992170711337834995,1,100,100
2311982577891843851,1,100,100
-3255331908536048481,1,100,100
6276482112902957109,1,100,100
-3492262109875250492,1,100,100
-925775284284035443,1,100,100
3813385908531273720,1,100,100
6920948055273145126,1,100,100
6537143104580856755,1,100,100
4830900147895398824,1,100,100
8723544795981752146,1,100,100
724530900234537693,1,100,100
4419645678340736053,1,100,100
469539246049376780,1,100,100
-1416392984804670341,1,100,100
5560549200308095313,1,100,100
-902297629425929896,1,100,100
-7785048784558843022,1,100,100
-2969814010229912942,1,100,100
5338386416975298022,1,100,100
-7066694553500887612,1,100,100
9037508307964370135,1,100,100
-3904324028477250548,1,100,100
3615441250489838444,1,100,100
-2711878615100464810,1,100,100
-376437849607934458,1,100,100
4049854164546889951,1,100,100
-3468228408726391630,1,100,100
3514414141586664667,1,100,100
3036700087778896814,1,100,100
519677639564477103,1,100,100
-4633591421944677260,1,100,100
2700833210227273840,1,100,100
1673777731167191575,1,100,100
-164179465569130523,1,100,100
-4586025910077066427,1,100,100
7382563507292447205,1,100,100
-5036285988410464403,1,100,100
8602947465332661005,1,100,100
8046912182434287997,1,100,100
-1912962280082850580,1,100,100
2246893098232409191,1,100,100
7635846020280787536,1,100,100
6654149506978309894,1,100,100
-8835292175356760541,1,100,100
8170650277582238750,1,100,100
-6660773783523571339,1,100,100
868307689117499388,1,100,100
397520341269246278,1,100,100
523741593356588219,1,100,100
4538565787482403359,1,100,100
-3851360129974845835,1,100,100
-5961953397065957869,1,100,100
7601253788127645769,1,100,100
1442949720319912555,1,100,100
-3007427207807477175,1,100,100
-1848218083180979577,1,100,100
5847641587984249627,1,100,100
-4832956001585501361,1,100,100
4752829389087727691,1,100,100
3290096170852363061,1,100,100
-6075526542288860525,1,100,100
-1674913842473024073,1,100,100
515847854197177035,1,100,100
-7077726055134514365,1,100,100
4841650249938535070,1,100,100
3506084177031494214,1,100,100
2589698675101585353,1,100,100
2725335397569975145,1,100,100
-455998032194355871,1,100,100
-1842840708752197680,1,100,100
2238637590520776850,1,100,100
6506824030465662343,1,100,100
725142630186889333,1,100,100
-5669338135924918919,1,100,100
-3259873796234534599,1,100,100
2308638966704081014,1,100,100
-7717176025538546355,1,100,100
7583163288838757468,1,100,100
-5811304015331453130,1,100,100
2889592827007228975,1,100,100
3444420842714324334,1,100,100
-8434678371817632975,1,100,100
7798575718048214628,1,100,100
-6622359508878854922,1,100,100
-4900778569165057774,1,100,100
8852381888415725059,1,100,100
8292189323240390222,1,100,100
928771654241286778,1,100,100
1189725798635244569,1,100,100
-1427862221404236409,1,100,100
2205307574948120843,1,100,100
6958702183059501166,1,100,100
-3280469526551643874,1,100,100
-4760471129755074699,1,100,100
-3719849083000181386,1,100,100
1167356446337008630,1,100,100
5404241316310930968,1,100,100
411816447422254238,1,100,100
1054045386475108818,1,100,100
-4988966900977295714,1,100,100
-4134620138556153962,1,100,100
969150327819152892,1,100,100
5649940557798020127,1,100,100
8643312430506346423,1,100,100
-4678251471431725543,1,100,100
4142657424831421270,1,100,100
-432151116502964050,1,100,100
-5227371714140394701,1,100,100
-2759231294897967831,1,100,100
-5552796092644129328,1,100,100
6704431434460802477,1,100,100
-8275263191998109169,1,100,100
-3141166373730898683,1,100,100
8866191474728021976,1,100,100
6784181890405018973,1,100,100
8710538467676831247,1,100,100
-1591644176466385080,1,100,100
107910769056314914,1,100,100
-726932067100199690,1,100,100
-6228868976593966787,1,100,100
3255696076030846687,1,100,100
940630347400858960,1,100,100
3456082261784502406,1,100,100
1012919901855569425,1,100,100
5636428085276858797,1,100,100
5857670583123236363,1,100,100
-6838210957287403206,1,100,100
739474566037411469,1,100,100
-7671234709570743708,1,100,100
-7040582696271343194,1,100,100
-8122311515488536003,1,100,100
-4282508110762001328,1,100,100
3503446800499218029,1,100,100
5641161245943300879,1,100,100
1295883228457614726,1,100,100
8683090480656670024,1,100,100
-2681208504858591258,1,100,100
5654377945984748755,1,100,100
4151321516395017619,1,100,100
-5061185918289106442,1,100,100
-8985420883431850269,1,100,100
2998634219332429794,1,100,100
6919317053987639947,1,100,100
2869479358364642431,1,100,100
-5504214138090742525,1,100,100
-8881819969734246051,1,100,100
5691819855139328233,1,100,100
-6880511738870468310,1,100,100
-8921868836728729331,1,100,100
454079990750316648,1,100,100
4318828932955702973,1,100,100
5647206515141555741,1,100,100
7095228821150706200,1,100,100
-8953871990410636642,1,100,100
6099424903063818758,1,100,100
138521409398376762,1,100,100
7934940136345684141,1,100,100
4036714889133635950,1,100,100
-8579088366677739509,1,100,100
2742971270385003109,1,100,100
-5315687596761898359,1,100,100
1415960072947673303,1,100,100
2265345188633680215,1,100,100
-7287666268987876677,1,100,100
2869961034981088298,1,100,100
-8465060046312811544,1,100,100
-1073300853355857778,1,100,100
-2571835392272861096,1,100,100
-1057814570045271269,1,100,100
-3455738001281627774,1,100,100
3173586814039947494,1,100,100
6284810710554564578,1,100,100
4901042057530970181,1,100,100
573145144212425077,1,100,100
-8785581195625140862,1,100,100
-8055734683213052733,1,100,100
-9034548518138455286,1,100,100
3821729764296767692,1,100,100
-8351163685826476570,1,100,100
-3276837314554268589,1,100,100
652881902268734841,1,100,100
8066792949903626330,1,100,100
-5129160351844417556,1,100,100
-912553390001074590,1,100,100
-4154665303180898386,1,100,100
-5177938891067701771,1,100,100
