metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.6891891891891891,0.4888888888888889,0.6767241379310346,0.3731262706887477,0.4,0.6,74
single_metric,0.6621621621621622,0.4444444444444444,0.6702586206896552,0.420960654157182,0.4,0.6,74
