metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.6409448818897637,0.6918918918918919,0.7029314082294216,0.7037803475629202,0.4,0.6,635
single_metric,0.6456692913385826,0.6511627906976745,0.7086589901159437,0.7165091282211542,0.4,0.6,635
