variance_range,variance_low,variance_high,n_samples,integrated_auc,best_qpp_metric,best_qpp_auc,auc_improvement,delong_z_stat,delong_p_value,delong_significant,integrated_better,integrated_significantly_better
Low Variance,0.0,470.0299672960575,387,0.5629919137466307,maxscq,0.5248247978436658,0.038167115902964954,0.9438855427426315,0.3452281406347746,False,True,False
Medium Variance,470.0299672960575,543.0704329020879,398,0.5529099190283401,maxidf,0.5707742914979756,-0.01786437246963557,-0.4178169660450036,0.6760809453840464,False,False,False
High Variance,543.0704329020879,603.7730995552125,386,0.5907125399511186,nqc,0.5567641608250746,0.03394837912604398,0.8193196572189088,0.4126040602051617,False,True,False
