error_type,mean_regression,mean_single,std_regression,std_single,improvement,n_samples
False Positive,0.48591036317398945,0.4567627035761568,0.11479875255870112,0.10851717529858233,-0.029147659597832665,76
False Negative,0.5889634203710155,0.5469484240319968,0.11009658935706573,0.11341885552293332,0.04201499633901862,36
