metric,accuracy,f1,auc,ap,confidence_range_low,confidence_range_high,n_samples
regression,0.6188976377952756,0.6019736842105263,0.667923276434043,0.5999337577874491,0.4,0.6,635
single_metric,0.6141732283464567,0.5896147403685092,0.6646359852825864,0.5990729705669073,0.4,0.6,635
