bootstrap_id,feature_combination,metric_name,value
0,regression,auc,0.6030075187969924
0,regression,ap,0.5277235323764369
0,regression,f1,0.5156626506024097
0,regression,accuracy,0.599601593625498
1,regression,auc,0.5810301401355714
1,regression,ap,0.46176816789836544
1,regression,f1,0.4631043256997455
1,regression,accuracy,0.5796812749003984
2,regression,auc,0.5884515289525049
2,regression,ap,0.5116359664730994
2,regression,f1,0.4964871194379391
2,regression,accuracy,0.5717131474103586
3,regression,auc,0.6010745137743521
3,regression,ap,0.5016946867225763
3,regression,f1,0.5234567901234568
3,regression,accuracy,0.6155378486055777
4,regression,auc,0.5704990215264187
4,regression,ap,0.4872324189481151
4,regression,f1,0.49261083743842365
4,regression,accuracy,0.5896414342629482
5,regression,auc,0.6104421634425582
5,regression,ap,0.5038723274354686
5,regression,f1,0.49748743718592964
5,regression,accuracy,0.601593625498008
6,regression,auc,0.6039254331937258
6,regression,ap,0.5080276781410874
6,regression,f1,0.5263157894736842
6,regression,accuracy,0.6235059760956175
7,regression,auc,0.6399706457925636
7,regression,ap,0.5441597784328148
7,regression,f1,0.5563549160671463
7,regression,accuracy,0.6314741035856574
8,regression,auc,0.5964436110014475
8,regression,ap,0.508842959572106
8,regression,f1,0.5188916876574308
8,regression,accuracy,0.6195219123505976
9,regression,auc,0.5941419141914192
9,regression,ap,0.5113173547841577
9,regression,f1,0.5087281795511222
9,regression,accuracy,0.6075697211155379
10,regression,auc,0.5605940934065934
10,regression,ap,0.4364391147057796
10,regression,f1,0.48346055979643765
10,regression,accuracy,0.5956175298804781
11,regression,auc,0.602614143269483
11,regression,ap,0.5188746986208292
11,regression,f1,0.5260545905707196
11,regression,accuracy,0.6195219123505976
12,regression,auc,0.529057503099789
12,regression,ap,0.46677975641239916
12,regression,f1,0.45161290322580644
12,regression,accuracy,0.5597609561752988
13,regression,auc,0.6383529608285308
13,regression,ap,0.5054351629169449
13,regression,f1,0.55470737913486
13,regression,accuracy,0.651394422310757
14,regression,auc,0.5796662108506186
14,regression,ap,0.4859957178965031
14,regression,f1,0.49624060150375937
14,regression,accuracy,0.599601593625498
15,regression,auc,0.6555737035524704
15,regression,ap,0.4985646740822204
15,regression,f1,0.533678756476684
15,regression,accuracy,0.6414342629482072
16,regression,auc,0.5348369771158378
16,regression,ap,0.4475743274165846
16,regression,f1,0.4803921568627451
16,regression,accuracy,0.5776892430278885
17,regression,auc,0.5950993377483444
17,regression,ap,0.5048414055499161
17,regression,f1,0.49382716049382713
17,regression,accuracy,0.5916334661354582
18,regression,auc,0.5240186615186615
18,regression,ap,0.4759882151012188
18,regression,f1,0.46568627450980393
18,regression,accuracy,0.5657370517928287
19,regression,auc,0.5736164006158334
19,regression,ap,0.5059681497435693
19,regression,f1,0.514018691588785
19,regression,accuracy,0.5856573705179283
20,regression,auc,0.585491216655823
20,regression,ap,0.5106370410472968
20,regression,f1,0.5074626865671642
20,regression,accuracy,0.6055776892430279
21,regression,auc,0.5927072360424601
21,regression,ap,0.5258564208864294
21,regression,f1,0.5450121654501217
21,regression,accuracy,0.6274900398406374
22,regression,auc,0.5772698780076184
22,regression,ap,0.5073430216614951
22,regression,f1,0.5069767441860465
22,regression,accuracy,0.5776892430278885
23,regression,auc,0.5992935635792778
23,regression,ap,0.5227919435928177
23,regression,f1,0.513317191283293
23,regression,accuracy,0.599601593625498
24,regression,auc,0.5383235485975212
24,regression,ap,0.4380864396056229
24,regression,f1,0.48931116389548696
24,regression,accuracy,0.5717131474103586
25,regression,auc,0.6042305236270753
25,regression,ap,0.5838031746427391
25,regression,f1,0.5497630331753555
25,regression,accuracy,0.6215139442231076
26,regression,auc,0.6462005108556832
26,regression,ap,0.5893082475123705
26,regression,f1,0.581986143187067
26,regression,accuracy,0.6394422310756972
27,regression,auc,0.6155274344066057
27,regression,ap,0.5347499287621063
27,regression,f1,0.5545023696682464
27,regression,accuracy,0.6254980079681275
28,regression,auc,0.6027259288139448
28,regression,ap,0.5178952833415058
28,regression,f1,0.5412844036697247
28,regression,accuracy,0.601593625498008
29,regression,auc,0.6078599789320153
29,regression,ap,0.5380153402403045
29,regression,f1,0.5265700483091788
29,regression,accuracy,0.6095617529880478
30,regression,auc,0.6417732225483854
30,regression,ap,0.5384305687582224
30,regression,f1,0.5572139303482587
30,regression,accuracy,0.6454183266932271
31,regression,auc,0.5838598901098901
31,regression,ap,0.4819913908276129
31,regression,f1,0.48704663212435234
31,regression,accuracy,0.6055776892430279
32,regression,auc,0.6460726072607261
32,regression,ap,0.5517875192422219
32,regression,f1,0.5560975609756098
32,regression,accuracy,0.6374501992031872
33,regression,auc,0.6488095238095238
33,regression,ap,0.5771122424575666
33,regression,f1,0.5795724465558195
33,regression,accuracy,0.647410358565737
34,regression,auc,0.5820386510041683
34,regression,ap,0.453782780120315
34,regression,f1,0.5238095238095238
34,regression,accuracy,0.601593625498008
35,regression,auc,0.5965753424657534
35,regression,ap,0.5174478238395968
35,regression,f1,0.5450346420323325
