Metric,AUC-ROC,AUC-PR,p-value
Clarity,0.5007,0.5332,-
n(σ%),0.5454,0.5643,-
NQC,0.5348,0.5540,-
SMV,0.5368,0.5570,-
WIG,0.5535,0.5766,-
L1 Logistic Regression,0.5149,0.5404,0.0151
L2 Logistic Regression,0.5135,0.5395,0.0114
E-Net,0.5137,0.5396,0.0120
No Penalty Logistic Regression,0.5150,0.5404,0.0151
BOLASSO,0.5113,0.5381,0.0075
LARS-Traps,0.5102,0.5378,0.0059
LARS-CV,0.5102,0.5378,0.0059
Random Forest,0.5070,0.5391,0.0059
